#   n       crisp       struct-nothread     struct-initial    struct-general 
1           1.001       0.042               0.04              0.03999999999999998
2           1.149       0.059               0.04              0.09999999999999998
3           1.268       0.081               0.04              0.33000000000000007
4           1.489       0.125               0.04              1.19
5           1.861       0.188               0.05              4.529999999999999
6           2.436       0.325               0.05              8.116000000000001
7           3.394       0.618               0.04              31.1
8           4.946       0.868               0.05              104.632
9           10.548      1.374               0.05              341.15200000000004
10          25.075      1.864               0.06              
11          68.147      2.454               0.06           
12          199.708     4.247               0.06           
13          590.497     6.056               0.06           
14          1805.539    7.697               0.06           
15          X           11.00               0.06           
