#   n       crisp       struct-initial          struct-last    struct-general-pruning
10          22.705                          
11          22.748      0.464                    0.97         2.0920000000000005 
12          23.730      0.484                    1.24         1.604000000000001
13          23.868      0.467                    1.34         1.5599999999999987
14          23.137      0.470                    1.39         1.4840000000000018
15          23.973      0.479                    1.53         1.296000000000003
16          23.693      0.481                    1.71         1.5
17          24.074      0.481                    1.88         1.3320000000000007
18          23.444      0.487                    2.35         1.4120000000000061
19          24.136      0.471                    2.65         1.3800000000000026
20          24.243      0.463                    2.93         1.0960000000000107
21          23.982      0.503                    2.89         1.0919999999999987
22          24.137      0.489                    3.25         1.3560000000000016
23          24.448      0.493                    3.35         1.0679999999999978
24          24.576      0.502                    3.75         1.3800000000000026
25          24.755      0.466                    4.31         1.107999999999997
35          24.537      0.536                    9.01         1.2040000000000006
50          25.707      0.524                    16.4         1.4159999999999968
60          26.970       0.544                     34.96      1.0320000000000107
